Event,Lap,Driver,GapToLeader_Secs
Australian Grand Prix,29.0,LAW,80.222
Australian Grand Prix,29.0,OCO,92.739
Australian Grand Prix,29.0,NOR,0.0
Australian Grand Prix,29.0,HAM,48.494
Australian Grand Prix,29.0,BOR,76.237
Australian Grand Prix,29.0,RUS,25.639
Australian Grand Prix,29.0,PIA,0.603
Australian Grand Prix,29.0,BEA,94.671
Australian Grand Prix,30.0,VER,16.995
Australian Grand Prix,30.0,GAS,54.294
Australian Grand Prix,30.0,ANT,57.771
Australian Grand Prix,30.0,ALO,56.237
Australian Grand Prix,30.0,LEC,33.154
Australian Grand Prix,30.0,STR,65.96
Australian Grand Prix,30.0,TSU,47.755
Australian Grand Prix,30.0,ALB,49.169
Australian Grand Prix,30.0,HUL,75.16
Australian Grand Prix,30.0,LAW,83.502
Australian Grand Prix,30.0,OCO,96.208
Australian Grand Prix,30.0,NOR,0.0
Australian Grand Prix,30.0,HAM,50.199
Australian Grand Prix,30.0,BOR,79.351
Australian Grand Prix,30.0,RUS,27.396
Australian Grand Prix,30.0,PIA,0.902
Australian Grand Prix,30.0,BEA,98.016
Australian Grand Prix,31.0,VER,17.427
Australian Grand Prix,31.0,GAS,55.898
Australian Grand Prix,31.0,ANT,59.321
Australian Grand Prix,31.0,ALO,57.392
Australian Grand Prix,31.0,LEC,35.005
Australian Grand Prix,31.0,STR,69.342
Australian Grand Prix,31.0,TSU,50.142
Australian Grand Prix,31.0,ALB,51.527
Australian Grand Prix,31.0,HUL,77.536
Australian Grand Prix,31.0,LAW,87.456
Australian Grand Prix,31.0,OCO,100.137
Australian Grand Prix,31.0,NOR,0.0
Australian Grand Prix,31.0,HAM,52.926
Australian Grand Prix,31.0,BOR,82.102
Australian Grand Prix,31.0,RUS,28.742
Australian Grand Prix,31.0,PIA,1.123
Australian Grand Prix,31.0,BEA,101.578
Australian Grand Prix,32.0,VER,17.835
Australian Grand Prix,32.0,GAS,57.481
Australian Grand Prix,32.0,ANT,60.553
Australian Grand Prix,32.0,ALO,58.411
Australian Grand Prix,32.0,LEC,36.542
Australian Grand Prix,32.0,STR,72.199
Australian Grand Prix,32.0,TSU,52.834
Australian Grand Prix,32.0,ALB,53.913
Australian Grand Prix,32.0,HUL,79.845
Australian Grand Prix,32.0,LAW,93.416
Australian Grand Prix,32.0,OCO,103.492
Australian Grand Prix,32.0,NOR,0.0
Australian Grand Prix,32.0,HAM,55.36
Australian Grand Prix,32.0,BOR,84.132
Australian Grand Prix,32.0,RUS,30.303
Australian Grand Prix,32.0,PIA,2.702
Australian Grand Prix,32.0,BEA,105.078
Australian Grand Prix,33.0,VER,18.386
Australian Grand Prix,33.0,GAS,81.286
Australian Grand Prix,33.0,ANT,85.693
Australian Grand Prix,33.0,ALO,120.916
Australian Grand Prix,33.0,LEC,43.013
Australian Grand Prix,33.0,STR,107.47
Australian Grand Prix,33.0,TSU,75.99
Australian Grand Prix,33.0,ALB,76.597
Australian Grand Prix,33.0,HUL,117.993
Australian Grand Prix,33.0,LAW,134.263
Australian Grand Prix,33.0,OCO,131.929
Australian Grand Prix,33.0,NOR,0.0
Australian Grand Prix,33.0,HAM,78.344
Australian Grand Prix,33.0,BOR,126.963
Australian Grand Prix,33.0,RUS,33.361
Australian Grand Prix,33.0,PIA,3.433
Australian Grand Prix,33.0,BEA,134.731
Australian Grand Prix,34.0,VER,24.711
Australian Grand Prix,34.0,GAS,104.062
Australian Grand Prix,34.0,ANT,106.016
Australian Grand Prix,34.0,LEC,54.645
Australian Grand Prix,34.0,STR,110.19
Australian Grand Prix,34.0,TSU,100.528
Australian Grand Prix,34.0,ALB,101.796
Australian Grand Prix,34.0,HUL,120.267
Australian Grand Prix,34.0,LAW,136.265
Australian Grand Prix,34.0,OCO,130.207
Australian Grand Prix,34.0,NOR,0.0
Australian Grand Prix,34.0,HAM,102.956
Australian Grand Prix,34.0,BOR,129.246
Australian Grand Prix,34.0,RUS,46.606
Australian Grand Prix,34.0,PIA,8.185
Australian Grand Prix,34.0,BEA,133.104
Australian Grand Prix,35.0,VER,25.771
Australian Grand Prix,35.0,GAS,86.145
Australian Grand Prix,35.0,ANT,87.238
Australian Grand Prix,35.0,LEC,58.069
Australian Grand Prix,35.0,STR,92.204
Australian Grand Prix,35.0,TSU,79.442
Australian Grand Prix,35.0,ALB,81.327
Australian Grand Prix,35.0,HUL,100.557
Australian Grand Prix,35.0,LAW,141.527
Australian Grand Prix,35.0,OCO,138.924
Australian Grand Prix,35.0,NOR,0.0
Australian Grand Prix,35.0,HAM,82.909
Australian Grand Prix,35.0,BOR,137.944
Australian Grand Prix,35.0,RUS,49.139
Australian Grand Prix,35.0,PIA,8.518
Australian Grand Prix,35.0,BEA,140.723
Australian Grand Prix,36.0,VER,5.222
Australian Grand Prix,36.0,GAS,50.882
Australian Grand Prix,36.0,ANT,52.01
Australian Grand Prix,36.0,LEC,23.592
Australian Grand Prix,36.0,STR,55.171
Australian Grand Prix,36.0,TSU,41.925
Australian Grand Prix,36.0,ALB,47.189
Australian Grand Prix,36.0,HUL,62.942
Australian Grand Prix,36.0,LAW,166.476
Australian Grand Prix,36.0,OCO,160.345
Australian Grand Prix,36.0,NOR,0.0
Australian Grand Prix,36.0,HAM,48.457
Australian Grand Prix,36.0,BOR,158.226
Australian Grand Prix,36.0,RUS,17.162
Australian Grand Prix,36.0,PIA,2.847
Australian Grand Prix,36.0,BEA,164.463
Australian Grand Prix,37.0,VER,11.165
Australian Grand Prix,37.0,GAS,21.209
Australian Grand Prix,37.0,ANT,22.417
Australian Grand Prix,37.0,LEC,14.924
Australian Grand Prix,37.0,STR,24.581
Australian Grand Prix,37.0,TSU,16.775
Australian Grand Prix,37.0,ALB,17.584
Australian Grand Prix,37.0,HUL,26.07
Australian Grand Prix,37.0,LAW,147.345
Australian Grand Prix,37.0,OCO,143.591
Australian Grand Prix,37.0,NOR,0.0
Australian Grand Prix,37.0,HAM,19.645
Australian Grand Prix,37.0,BOR,142.256
Australian Grand Prix,37.0,RUS,12.577
Australian Grand Prix,37.0,PIA,5.658
Australian Grand Prix,37.0,BEA,146.244
Australian Grand Prix,38.0,VER,8.055
Australian Grand Prix,38.0,GAS,19.565
Australian Grand Prix,38.0,ANT,21.078
Australian Grand Prix,38.0,LEC,13.379
