EventName,Lap,Driver,GapToLeader_Secs
Bahrain Grand Prix,24.0,SAI,26.685
Bahrain Grand Prix,24.0,RUS,37.164
Bahrain Grand Prix,24.0,BOT,44.541
Bahrain Grand Prix,25.0,VER,0.0
Bahrain Grand Prix,25.0,GAS,58.243
Bahrain Grand Prix,25.0,PER,14.102
Bahrain Grand Prix,25.0,ALO,33.683
Bahrain Grand Prix,25.0,LEC,13.52
Bahrain Grand Prix,25.0,STR,39.766
Bahrain Grand Prix,25.0,SAR,58.372
Bahrain Grand Prix,25.0,MAG,70.92
Bahrain Grand Prix,25.0,DEV,64.26
Bahrain Grand Prix,25.0,TSU,54.502
Bahrain Grand Prix,25.0,ALB,52.977
Bahrain Grand Prix,25.0,ZHO,62.849
Bahrain Grand Prix,25.0,HUL,68.891
Bahrain Grand Prix,25.0,OCO,89.686
Bahrain Grand Prix,25.0,NOR,86.793
Bahrain Grand Prix,25.0,HAM,31.802
Bahrain Grand Prix,25.0,SAI,27.884
Bahrain Grand Prix,25.0,RUS,38.279
Bahrain Grand Prix,25.0,BOT,46.659
Bahrain Grand Prix,26.0,VER,0.0
Bahrain Grand Prix,26.0,GAS,79.965
Bahrain Grand Prix,26.0,PER,13.874
Bahrain Grand Prix,26.0,ALO,34.128
Bahrain Grand Prix,26.0,LEC,15.506
Bahrain Grand Prix,26.0,STR,40.566
Bahrain Grand Prix,26.0,SAR,60.696
Bahrain Grand Prix,26.0,MAG,72.839
Bahrain Grand Prix,26.0,DEV,66.548
Bahrain Grand Prix,26.0,TSU,59.047
Bahrain Grand Prix,26.0,ALB,57.905
Bahrain Grand Prix,26.0,ZHO,64.594
Bahrain Grand Prix,26.0,HUL,74.14
Bahrain Grand Prix,26.0,OCO,91.525
Bahrain Grand Prix,26.0,NOR,87.551
Bahrain Grand Prix,26.0,HAM,32.459
Bahrain Grand Prix,26.0,SAI,28.533
Bahrain Grand Prix,26.0,RUS,39.059
Bahrain Grand Prix,26.0,BOT,48.477
Bahrain Grand Prix,27.0,VER,0.0
Bahrain Grand Prix,27.0,GAS,81.315
Bahrain Grand Prix,27.0,PER,13.882
Bahrain Grand Prix,27.0,ALO,35.361
Bahrain Grand Prix,27.0,LEC,16.941
Bahrain Grand Prix,27.0,STR,42.208
Bahrain Grand Prix,27.0,SAR,62.919
Bahrain Grand Prix,27.0,MAG,74.758
Bahrain Grand Prix,27.0,DEV,71.478
Bahrain Grand Prix,27.0,TSU,81.968
Bahrain Grand Prix,27.0,ALB,80.396
Bahrain Grand Prix,27.0,ZHO,66.45
Bahrain Grand Prix,27.0,HUL,108.798
Bahrain Grand Prix,27.0,OCO,93.74
Bahrain Grand Prix,27.0,NOR,91.145
Bahrain Grand Prix,27.0,HAM,33.449
Bahrain Grand Prix,27.0,SAI,29.576999999999998
Bahrain Grand Prix,27.0,RUS,40.305
Bahrain Grand Prix,27.0,BOT,50.385
Bahrain Grand Prix,28.0,VER,0.0
Bahrain Grand Prix,28.0,GAS,81.425
Bahrain Grand Prix,28.0,PER,13.442
Bahrain Grand Prix,28.0,ALO,35.909
Bahrain Grand Prix,28.0,LEC,17.908
Bahrain Grand Prix,28.0,STR,43.28
Bahrain Grand Prix,28.0,SAR,64.888
Bahrain Grand Prix,28.0,MAG,76.423
Bahrain Grand Prix,28.0,DEV,93.91
Bahrain Grand Prix,28.0,TSU,82.141
Bahrain Grand Prix,28.0,ALB,80.248
Bahrain Grand Prix,28.0,ZHO,68.211
Bahrain Grand Prix,28.0,HUL,108.128
Bahrain Grand Prix,28.0,OCO,96.115
Bahrain Grand Prix,28.0,NOR,121.157
Bahrain Grand Prix,28.0,HAM,34.063
Bahrain Grand Prix,28.0,SAI,30.4
Bahrain Grand Prix,28.0,RUS,41.102
Bahrain Grand Prix,28.0,BOT,51.75
Bahrain Grand Prix,29.0,VER,0.0
Bahrain Grand Prix,29.0,GAS,81.866
Bahrain Grand Prix,29.0,PER,13.604
Bahrain Grand Prix,29.0,ALO,36.923
Bahrain Grand Prix,29.0,LEC,18.784
Bahrain Grand Prix,29.0,STR,44.419
